node	mat	pat	mat:pat	color
utig4-0	0	0	0:0	#AAAAAA
utig4-1	0	25	0:25	#AAAAAA
utig4-2	0	32	0:32	#AAAAAA
utig4-3	0	32	0:32	#AAAAAA
utig4-4	0	32	0:32	#AAAAAA
utig4-5	0	25	0:25	#AAAAAA
utig4-6	0	59	0:59	#AAAAAA
utig4-7	0	46	0:46	#AAAAAA
utig4-8	0	39	0:39	#AAAAAA
utig4-9	0	63	0:63	#AAAAAA
utig4-10	0	32	0:32	#AAAAAA
utig4-11	0	0	0:0	#AAAAAA
utig4-12	0	32	0:32	#AAAAAA
utig4-13	0	41	0:41	#AAAAAA
utig4-14	0	32	0:32	#AAAAAA
utig4-15	0	32	0:32	#AAAAAA
utig4-16	0	46	0:46	#AAAAAA
utig4-17	0	10	0:10	#AAAAAA
utig4-18	0	61	0:61	#AAAAAA
utig4-19	0	61	0:61	#AAAAAA
utig4-20	0	0	0:0	#AAAAAA
utig4-21	0	0	0:0	#AAAAAA
utig4-22	264580	3041	264580:3041	#FF8888
utig4-23	0	24	0:24	#AAAAAA
utig4-24	1	0	1:0	#AAAAAA
utig4-25	67241	57	67241:57	#FF8888
utig4-26	133	77670	133:77670	#8888FF
utig4-27	79	0	79:0	#AAAAAA
utig4-28	300	197634	300:197634	#8888FF
utig4-29	13	41871	13:41871	#8888FF
utig4-30	0	0	0:0	#AAAAAA
utig4-31	2	13909	2:13909	#8888FF
utig4-32	0	0	0:0	#AAAAAA
utig4-33	9	0	9:0	#AAAAAA
utig4-34	16	0	16:0	#AAAAAA
utig4-35	38	0	38:0	#AAAAAA
utig4-36	16	0	16:0	#AAAAAA
utig4-37	16	0	16:0	#AAAAAA
utig4-38	9	0	9:0	#AAAAAA
utig4-39	0	0	0:0	#AAAAAA
utig4-40	0	0	0:0	#AAAAAA
utig4-41	0	0	0:0	#AAAAAA
utig4-42	16	0	16:0	#AAAAAA
utig4-43	6	0	6:0	#AAAAAA
utig4-44	0	0	0:0	#AAAAAA
utig4-45	0	0	0:0	#AAAAAA
utig4-46	0	0	0:0	#AAAAAA
utig4-47	0	0	0:0	#AAAAAA
utig4-48	0	0	0:0	#AAAAAA
utig4-49	21	0	21:0	#AAAAAA
utig4-50	0	0	0:0	#AAAAAA
utig4-51	0	0	0:0	#AAAAAA
utig4-52	0	0	0:0	#AAAAAA
utig4-53	0	0	0:0	#AAAAAA
utig4-54	0	0	0:0	#AAAAAA
utig4-55	0	0	0:0	#AAAAAA
utig4-56	0	0	0:0	#AAAAAA
utig4-57	0	0	0:0	#AAAAAA
utig4-58	0	0	0:0	#AAAAAA
utig4-59	0	0	0:0	#AAAAAA
utig4-60	0	0	0:0	#AAAAAA
utig4-61	0	0	0:0	#AAAAAA
utig4-62	0	0	0:0	#AAAAAA
utig4-63	0	0	0:0	#AAAAAA
utig4-64	0	0	0:0	#AAAAAA
utig4-65	0	18	0:18	#AAAAAA
utig4-66	0	30	0:30	#AAAAAA
utig4-67	0	0	0:0	#AAAAAA
utig4-68	0	0	0:0	#AAAAAA
utig4-69	0	12	0:12	#AAAAAA
utig4-70	0	30	0:30	#AAAAAA
utig4-71	0	0	0:0	#AAAAAA
utig4-72	0	30	0:30	#AAAAAA
utig4-73	0	0	0:0	#AAAAAA
utig4-74	0	40	0:40	#AAAAAA
utig4-75	30	0	30:0	#AAAAAA
utig4-76	449	173925	449:173925	#8888FF
utig4-77	227685	291	227685:291	#FF8888
utig4-78	0	0	0:0	#AAAAAA
utig4-79	39	0	39:0	#AAAAAA
utig4-80	0	30	0:30	#AAAAAA
utig4-81	0	30	0:30	#AAAAAA
utig4-82	0	0	0:0	#AAAAAA
utig4-83	0	0	0:0	#AAAAAA
utig4-84	1	118	1:118	#8888FF
utig4-85	193	136952	193:136952	#8888FF
utig4-86	103773	60	103773:60	#FF8888
utig4-87	504	120890	504:120890	#8888FF
utig4-88	139925	156	139925:156	#FF8888
utig4-89	0	25	0:25	#AAAAAA
utig4-90	7	0	7:0	#AAAAAA
utig4-91	7	0	7:0	#AAAAAA
utig4-92	58	0	58:0	#AAAAAA
utig4-93	0	0	0:0	#AAAAAA
utig4-94	0	25	0:25	#AAAAAA
utig4-95	0	0	0:0	#AAAAAA
utig4-96	0	0	0:0	#AAAAAA
utig4-97	0	0	0:0	#AAAAAA
utig4-98	41	0	41:0	#AAAAAA
utig4-99	144	0	144:0	#FF8888
utig4-100	0	178	0:178	#8888FF
utig4-101	21	0	21:0	#AAAAAA
utig4-102	0	477	0:477	#8888FF
utig4-103	0	0	0:0	#AAAAAA
utig4-104	0	0	0:0	#AAAAAA
utig4-105	0	0	0:0	#AAAAAA
utig4-106	0	0	0:0	#AAAAAA
utig4-107	0	0	0:0	#AAAAAA
utig4-108	0	0	0:0	#AAAAAA
utig4-109	0	0	0:0	#AAAAAA
utig4-110	13	0	13:0	#AAAAAA
utig4-111	0	0	0:0	#AAAAAA
utig4-112	0	0	0:0	#AAAAAA
utig4-113	0	0	0:0	#AAAAAA
utig4-114	0	0	0:0	#AAAAAA
utig4-115	37	0	37:0	#AAAAAA
utig4-116	5	0	5:0	#AAAAAA
utig4-117	0	0	0:0	#AAAAAA
utig4-118	0	65	0:65	#AAAAAA
utig4-119	0	0	0:0	#AAAAAA
utig4-120	0	0	0:0	#AAAAAA
utig4-121	0	0	0:0	#AAAAAA
utig4-122	0	0	0:0	#AAAAAA
utig4-123	7	0	7:0	#AAAAAA
utig4-124	7	0	7:0	#AAAAAA
utig4-125	0	0	0:0	#AAAAAA
utig4-126	8	0	8:0	#AAAAAA
utig4-127	7	0	7:0	#AAAAAA
utig4-128	14	0	14:0	#AAAAAA
utig4-129	20	0	20:0	#AAAAAA
utig4-130	7	0	7:0	#AAAAAA
utig4-131	7	0	7:0	#AAAAAA
utig4-132	7	0	7:0	#AAAAAA
utig4-133	0	0	0:0	#AAAAAA
utig4-134	0	0	0:0	#AAAAAA
utig4-135	0	0	0:0	#AAAAAA
utig4-136	0	0	0:0	#AAAAAA
utig4-137	0	0	0:0	#AAAAAA
utig4-138	0	0	0:0	#AAAAAA
utig4-139	0	4	0:4	#AAAAAA
utig4-140	0	0	0:0	#AAAAAA
utig4-141	5	0	5:0	#AAAAAA
utig4-142	0	0	0:0	#AAAAAA
utig4-143	0	0	0:0	#AAAAAA
utig4-144	0	0	0:0	#AAAAAA
utig4-145	10	0	10:0	#AAAAAA
utig4-146	0	0	0:0	#AAAAAA
utig4-147	0	0	0:0	#AAAAAA
utig4-148	0	0	0:0	#AAAAAA
utig4-149	3	0	3:0	#AAAAAA
utig4-150	0	0	0:0	#AAAAAA
utig4-151	0	0	0:0	#AAAAAA
utig4-152	0	0	0:0	#AAAAAA
utig4-153	0	0	0:0	#AAAAAA
utig4-154	0	0	0:0	#AAAAAA
utig4-155	24	0	24:0	#AAAAAA
utig4-156	0	0	0:0	#AAAAAA
utig4-157	0	0	0:0	#AAAAAA
utig4-158	33	0	33:0	#AAAAAA
utig4-159	0	0	0:0	#AAAAAA
utig4-160	0	0	0:0	#AAAAAA
utig4-161	0	0	0:0	#AAAAAA
utig4-162	3	0	3:0	#AAAAAA
utig4-163	0	0	0:0	#AAAAAA
utig4-164	0	0	0:0	#AAAAAA
utig4-165	16	0	16:0	#AAAAAA
utig4-166	0	0	0:0	#AAAAAA
utig4-167	0	0	0:0	#AAAAAA
utig4-168	0	0	0:0	#AAAAAA
utig4-169	0	0	0:0	#AAAAAA
utig4-170	0	0	0:0	#AAAAAA
utig4-171	0	0	0:0	#AAAAAA
utig4-172	0	0	0:0	#AAAAAA
utig4-173	33	0	33:0	#AAAAAA
utig4-174	0	0	0:0	#AAAAAA
utig4-175	26997	84	26997:84	#FF8888
utig4-176	109	30909	109:30909	#8888FF
utig4-177	151634	278	151634:278	#FF8888
utig4-178	494	164321	494:164321	#8888FF
utig4-179	821	241025	821:241025	#8888FF
utig4-180	0	0	0:0	#AAAAAA
utig4-181	0	0	0:0	#AAAAAA
utig4-182	0	48	0:48	#AAAAAA
utig4-183	0	48	0:48	#AAAAAA
utig4-184	7	420	7:420	#8888FF
utig4-185	0	41	0:41	#AAAAAA
utig4-186	0	40	0:40	#AAAAAA
utig4-187	0	0	0:0	#AAAAAA
utig4-188	10	0	10:0	#AAAAAA
utig4-189	0	0	0:0	#AAAAAA
utig4-190	0	18	0:18	#AAAAAA
utig4-191	29	0	29:0	#AAAAAA
utig4-192	0	0	0:0	#AAAAAA
utig4-193	0	0	0:0	#AAAAAA
utig4-194	0	23	0:23	#AAAAAA
utig4-195	0	15	0:15	#AAAAAA
utig4-196	0	23	0:23	#AAAAAA
utig4-197	0	0	0:0	#AAAAAA
utig4-198	0	0	0:0	#AAAAAA
utig4-199	0	0	0:0	#AAAAAA
utig4-200	6469	2	6469:2	#FF8888
utig4-201	0	0	0:0	#AAAAAA
utig4-202	66	0	66:0	#AAAAAA
utig4-203	25	0	25:0	#AAAAAA
utig4-204	0	26	0:26	#AAAAAA
utig4-205	0	0	0:0	#AAAAAA
utig4-206	0	15	0:15	#AAAAAA
utig4-207	0	15	0:15	#AAAAAA
utig4-208	0	0	0:0	#AAAAAA
utig4-209	9	0	9:0	#AAAAAA
utig4-210	0	15	0:15	#AAAAAA
utig4-211	0	26	0:26	#AAAAAA
utig4-212	0	56	0:56	#AAAAAA
utig4-213	0	0	0:0	#AAAAAA
utig4-214	0	0	0:0	#AAAAAA
utig4-215	0	0	0:0	#AAAAAA
utig4-216	65	10	65:10	#AAAAAA
utig4-217	0	0	0:0	#AAAAAA
utig4-218	0	0	0:0	#AAAAAA
utig4-219	0	0	0:0	#AAAAAA
utig4-220	0	0	0:0	#AAAAAA
utig4-221	0	25	0:25	#AAAAAA
utig4-222	0	0	0:0	#AAAAAA
utig4-223	17	0	17:0	#AAAAAA
utig4-224	7	385	7:385	#8888FF
utig4-225	7	385	7:385	#8888FF
utig4-226	0	0	0:0	#AAAAAA
utig4-227	0	0	0:0	#AAAAAA
utig4-228	0	25	0:25	#AAAAAA
utig4-229	0	0	0:0	#AAAAAA
utig4-230	0	0	0:0	#AAAAAA
utig4-231	0	0	0:0	#AAAAAA
utig4-232	5	0	5:0	#AAAAAA
utig4-233	7	0	7:0	#AAAAAA
utig4-234	24	0	24:0	#AAAAAA
utig4-235	12	0	12:0	#AAAAAA
utig4-236	7	0	7:0	#AAAAAA
utig4-237	62	0	62:0	#AAAAAA
utig4-238	0	0	0:0	#AAAAAA
utig4-239	0	0	0:0	#AAAAAA
utig4-240	0	0	0:0	#AAAAAA
utig4-241	0	14	0:14	#AAAAAA
utig4-242	0	0	0:0	#AAAAAA
utig4-243	57	0	57:0	#AAAAAA
utig4-244	0	0	0:0	#AAAAAA
utig4-245	7	0	7:0	#AAAAAA
utig4-246	7	0	7:0	#AAAAAA
utig4-247	7	0	7:0	#AAAAAA
utig4-248	0	22	0:22	#AAAAAA
utig4-249	15	0	15:0	#AAAAAA
utig4-250	0	43	0:43	#AAAAAA
utig4-251	0	0	0:0	#AAAAAA
utig4-252	59	2	59:2	#AAAAAA
utig4-253	0	0	0:0	#AAAAAA
utig4-254	2630	0	2630:0	#FF8888
utig4-255	114634	159	114634:159	#FF8888
utig4-256	114	85289	114:85289	#8888FF
utig4-257	29	0	29:0	#AAAAAA
utig4-258	0	389	0:389	#8888FF
utig4-259	0	0	0:0	#AAAAAA
utig4-260	0	25	0:25	#AAAAAA
utig4-261	17	0	17:0	#AAAAAA
utig4-262	0	0	0:0	#AAAAAA
utig4-263	0	0	0:0	#AAAAAA
utig4-264	1	5	1:5	#AAAAAA
