[2024-04-11 09:14:10,762] multiqc                                            [DEBUG  ]  This is MultiQC v1.21
[2024-04-11 09:14:10,766] multiqc                                            [DEBUG  ]  Loading config settings from: multiqc_config.yml
[2024-04-11 09:14:10,766] multiqc                                            [DEBUG  ]  New config: {'report_comment': 'This report has been generated by the <a href="https://github.com/nf-core/pangenome/releases/tag/1.1.2" target="_blank">nf-core/pangenome</a> analysis pipeline. For information about how to interpret these results, please see the <a href="https://nf-co.re/pangenome/1.1.2/docs/output" target="_blank">documentation</a>.\n', 'report_section_order': {'nf-core-pangenome-methods-description': {'order': -1000}, 'software_versions': {'order': -1001}, 'nf-core-pangenome-summary': {'order': -1002}}, 'export_plots': True, 'disable_version_detection': True, 'custom_data': {'odgi_O': {'section_name': 'ODGI Compressed 1D visualization', 'description': 'This image shows a 1D rendering of the built pangenome graph. The graph nodes are arranged from left to right, forming the pangenome sequence. Summarization of path coverage across all paths. A heatmap color-coding from https://colorbrewer2.org/#type=diverging&scheme=RdBu&n=11 is used. Dark blue means highest coverage. Dark red means lowest coverage. The path names are placed on the left. The black lines under the paths are the links, which represent the graph topology.'}, 'odgi_viz': {'section_name': 'ODGI 1D visualization', 'description': 'This image shows a 1D rendering of the built pangenome graph. The graph nodes are arranged from left to right, forming the pangenome sequence. The colored bars represent the paths versus the pangenome sequence in a binary matrix. The path names are placed on the left. The black lines under the paths are the links, which represent the graph topology.'}, 'odgi_viz_pos': {'section_name': 'ODGI 1D visualization by path position', 'description': 'This shows a 1D rendering of the built pangenome graph where the paths are colored according to their nucleotide position. Light grey means a low path position, black is the highest path position.'}, 'odgi_viz_inv': {'section_name': 'ODGI 1D visualization by path orientation', 'description': 'This image shows a 1D rendering of the built pangenome graph where the paths are colored by orientation. Forward is black, reverse is red.'}, 'odgi_viz_depth': {'section_name': 'ODGI 1D visualization by node depth', 'description': 'This shows a 1D rendering of the built pangenome graph where the paths are colored according to path depth. Using the Spectra color palette with 4 levels of path depths, white indicates no depth, while grey, red, and yellow indicate depth 1, 2, and greater than or equal to 3, respectively.'}, 'odgi_viz_uncalled': {'section_name': 'ODGI 1D visualization by uncalled bases', 'description': "This shows a 1D rendering of the built pangenome graph where the paths are colored according to the coverage of uncalled bases. The lighter the green, the higher the 'N' content of a node is."}, 'odgi_draw': {'section_name': 'ODGI 2D drawing', 'description': 'This image shows a 2D rendering of the built pangenome graph.'}}, 'ignore_images': False, 'module_order': ['odgi', 'custom_content'], 'custom_content': {'order': ['odgi_O', 'odgi_viz', 'odgi_viz_pos', 'odgi_viz_inv', 'odgi_viz_depth', 'odgi_viz_uncalled', 'odgi_draw']}}
[2024-04-11 09:14:10,766] multiqc                                            [DEBUG  ]  Added to filename patterns: [{'odgi_O': {'fn': '*O_multiqc.png'}, 'odgi_draw': {'fn': '*draw_multiqc.png'}, 'odgi_viz': {'fn': '*viz_multiqc.png'}, 'odgi_viz_pos': {'fn': '*viz_pos_multiqc.png'}, 'odgi_viz_inv': {'fn': '*viz_inv_multiqc.png'}, 'odgi_viz_depth': {'fn': '*viz_depth_multiqc.png'}, 'odgi_viz_uncalled': {'fn': '*viz_uncalled_multiqc.png'}}]
[2024-04-11 09:14:10,769] multiqc                                            [DEBUG  ]  Loading config settings from: multiqc_config.yml
[2024-04-11 09:14:10,769] multiqc                                            [DEBUG  ]  New config: {'report_comment': 'This report has been generated by the <a href="https://github.com/nf-core/pangenome/releases/tag/1.1.2" target="_blank">nf-core/pangenome</a> analysis pipeline. For information about how to interpret these results, please see the <a href="https://nf-co.re/pangenome/1.1.2/docs/output" target="_blank">documentation</a>.\n', 'report_section_order': {'nf-core-pangenome-methods-description': {'order': -1000}, 'software_versions': {'order': -1001}, 'nf-core-pangenome-summary': {'order': -1002}}, 'export_plots': True, 'disable_version_detection': True, 'custom_data': {'odgi_O': {'section_name': 'ODGI Compressed 1D visualization', 'description': 'This image shows a 1D rendering of the built pangenome graph. The graph nodes are arranged from left to right, forming the pangenome sequence. Summarization of path coverage across all paths. A heatmap color-coding from https://colorbrewer2.org/#type=diverging&scheme=RdBu&n=11 is used. Dark blue means highest coverage. Dark red means lowest coverage. The path names are placed on the left. The black lines under the paths are the links, which represent the graph topology.'}, 'odgi_viz': {'section_name': 'ODGI 1D visualization', 'description': 'This image shows a 1D rendering of the built pangenome graph. The graph nodes are arranged from left to right, forming the pangenome sequence. The colored bars represent the paths versus the pangenome sequence in a binary matrix. The path names are placed on the left. The black lines under the paths are the links, which represent the graph topology.'}, 'odgi_viz_pos': {'section_name': 'ODGI 1D visualization by path position', 'description': 'This shows a 1D rendering of the built pangenome graph where the paths are colored according to their nucleotide position. Light grey means a low path position, black is the highest path position.'}, 'odgi_viz_inv': {'section_name': 'ODGI 1D visualization by path orientation', 'description': 'This image shows a 1D rendering of the built pangenome graph where the paths are colored by orientation. Forward is black, reverse is red.'}, 'odgi_viz_depth': {'section_name': 'ODGI 1D visualization by node depth', 'description': 'This shows a 1D rendering of the built pangenome graph where the paths are colored according to path depth. Using the Spectra color palette with 4 levels of path depths, white indicates no depth, while grey, red, and yellow indicate depth 1, 2, and greater than or equal to 3, respectively.'}, 'odgi_viz_uncalled': {'section_name': 'ODGI 1D visualization by uncalled bases', 'description': "This shows a 1D rendering of the built pangenome graph where the paths are colored according to the coverage of uncalled bases. The lighter the green, the higher the 'N' content of a node is."}, 'odgi_draw': {'section_name': 'ODGI 2D drawing', 'description': 'This image shows a 2D rendering of the built pangenome graph.'}}, 'ignore_images': False, 'module_order': ['odgi', 'custom_content'], 'custom_content': {'order': ['odgi_O', 'odgi_viz', 'odgi_viz_pos', 'odgi_viz_inv', 'odgi_viz_depth', 'odgi_viz_uncalled', 'odgi_draw']}}
[2024-04-11 09:14:10,769] multiqc                                            [DEBUG  ]  Added to filename patterns: [{'odgi_O': {'fn': '*O_multiqc.png'}, 'odgi_draw': {'fn': '*draw_multiqc.png'}, 'odgi_viz': {'fn': '*viz_multiqc.png'}, 'odgi_viz_pos': {'fn': '*viz_pos_multiqc.png'}, 'odgi_viz_inv': {'fn': '*viz_inv_multiqc.png'}, 'odgi_viz_depth': {'fn': '*viz_depth_multiqc.png'}, 'odgi_viz_uncalled': {'fn': '*viz_uncalled_multiqc.png'}}]
[2024-04-11 09:14:10,769] multiqc                                            [DEBUG  ]  Command used: /usr/local/bin/multiqc --force --config multiqc_config.yml .
[2024-04-11 09:14:10,926] multiqc                                            [DEBUG  ]  Latest MultiQC version is v1.21, released 2024-02-28
[2024-04-11 09:14:10,926] multiqc                                            [DEBUG  ]  Working dir : /tmp/jean/pggb/work/15/1eecc7f3e3c582bb967c4e65351a67
[2024-04-11 09:14:10,926] multiqc                                            [DEBUG  ]  Template    : default
